v-sweep;I(MQ1:d);
4.75;53.5938;
4.76;54.208;
4.77;54.8258;
4.78;55.447;
4.79;56.0718;
4.8;56.7;
4.81;57.3318;
4.82;57.967;
4.83;58.6058;
4.84;59.248;
4.85;59.8938;
4.86;60.543;
4.87;61.1958;
4.88;61.852;
4.89;62.5118;
4.9;63.175;
4.91;63.8418;
4.92;64.512;
4.93;65.1858;
4.94;65.863;
4.95;66.5438;
4.96;67.228;
4.97;67.9158;
4.98;68.607;
4.99;69.3018;
5;70;
5.01;70.7018;
5.02;71.407;
5.03;72.1158;
5.04;72.828;
5.05;73.5438;
5.06;74.263;
5.07;74.9858;
5.08;75.712;
5.09;76.4418;
5.1;77.175;
5.11;77.9118;
5.12;78.652;
5.13;79.3958;
5.14;80.143;
5.15;80.8938;
5.16;81.648;
5.17;82.4058;
5.18;83.167;
5.19;83.9318;
5.2;84.7;
5.21;85.4718;
5.22;86.247;
5.23;87.0258;
5.24;87.808;
5.25;88.5938;
5.26;89.383;
5.27;90.1758;
5.28;90.972;
5.29;91.7718;
5.3;92.575;
5.31;93.3818;
5.32;94.192;
5.33;95.0058;
5.34;95.823;
5.35;96.6438;
5.36;97.468;
5.37;98.2958;
5.38;99.127;
5.39;99.9618;
5.4;100.8;
5.41;101.642;
5.42;102.487;
5.43;103.336;
5.44;104.188;
5.45;105.044;
5.46;105.903;
5.47;106.766;
5.48;107.632;
5.49;108.502;
5.5;109.375;
5.51;110.252;
5.52;111.132;
5.53;112.016;
5.54;112.903;
5.55;113.794;
5.56;114.688;
5.57;115.586;
5.58;116.487;
5.59;117.392;
5.6;118.3;
5.61;119.212;
5.62;120.127;
5.63;121.046;
5.64;121.968;
5.65;122.894;
5.66;123.823;
5.67;124.756;
5.68;125.692;
5.69;126.632;
5.7;127.575;
5.71;128.522;
5.72;129.472;
5.73;130.426;
5.74;131.383;
5.75;132.344;
5.76;133.308;
5.77;134.276;
5.78;135.247;
5.79;136.222;
5.8;137.2;
5.81;138.182;
5.82;139.167;
5.83;140.156;
5.84;141.148;
5.85;142.144;
5.86;143.143;
5.87;144.146;
5.88;145.152;
5.89;146.162;
5.9;147.175;
5.91;148.192;
5.92;149.212;
5.93;150.236;
5.94;151.263;
5.95;152.294;
5.96;153.328;
5.97;154.366;
5.98;155.407;
5.99;156.452;
6;157.5;
6.01;158.552;
6.02;159.607;
6.03;160.666;
6.04;161.728;
6.05;162.794;
6.06;163.863;
6.07;164.936;
6.08;166.012;
6.09;167.092;
6.1;168.175;
6.11;169.262;
6.12;170.352;
6.13;171.446;
6.14;172.543;
6.15;173.644;
6.16;174.748;
6.17;175.856;
6.18;176.967;
6.19;178.082;
6.2;179.2;
6.21;180.322;
6.22;181.447;
6.23;182.576;
6.24;183.708;
6.25;184.844;
6.26;185.983;
6.27;187.126;
6.28;188.272;
6.29;189.422;
6.3;190.575;
6.31;191.732;
6.32;192.892;
6.33;194.056;
6.34;195.223;
6.35;196.394;
6.36;197.568;
6.37;198.746;
6.38;199.927;
6.39;201.112;
6.4;202.3;
6.41;203.492;
6.42;204.687;
6.43;205.886;
6.44;207.088;
6.45;208.294;
6.46;209.503;
6.47;210.716;
6.48;211.932;
6.49;213.152;
6.5;214.375;
6.51;215.602;
6.52;216.832;
6.53;218.066;
6.54;219.303;
6.55;220.544;
6.56;221.788;
6.57;223.036;
6.58;224.287;
6.59;225.542;
6.6;226.8;
6.61;228.062;
6.62;229.327;
6.63;230.596;
6.64;231.868;
6.65;233.144;
6.66;234.423;
6.67;235.706;
6.68;236.992;
6.69;238.282;
6.7;239.575;
6.71;240.872;
6.72;242.172;
6.73;243.476;
6.74;244.783;
6.75;246.094;
6.76;247.408;
6.77;248.726;
6.78;250.047;
6.79;251.372;
6.8;252.7;
6.81;254.032;
6.82;255.367;
6.83;256.706;
6.84;258.048;
6.85;259.394;
6.86;260.743;
6.87;262.096;
6.88;263.452;
6.89;264.812;
6.9;266.175;
6.91;267.542;
6.92;268.912;
6.93;270.286;
6.94;271.663;
6.95;273.044;
6.96;274.428;
6.97;275.816;
6.98;277.207;
6.99;278.602;
7;280;
7.01;281.402;
7.02;282.807;
7.03;284.216;
7.04;285.628;
7.05;287.044;
7.06;288.463;
7.07;289.886;
7.08;291.312;
7.09;292.742;
7.1;294.175;
7.11;295.612;
7.12;297.052;
7.13;298.496;
7.14;299.943;
7.15;301.394;
7.16;302.848;
7.17;304.306;
7.18;305.767;
7.19;307.232;
7.2;308.7;
7.21;310.172;
7.22;311.647;
7.23;313.126;
7.24;314.608;
7.25;316.094;
